year,id,name,position_id,av_value
1994,1987292,"Elbert Shelley",DB,3
1994,1989150,"Jay Taylor",DB,3
1994,1983103,"Lionel Washington",CB,3
1994,1989283,"Marcus Turner",DB,3
1994,1986221,"Maurice Douglass",DB,3
1994,198668,"Patrick Hunter",CB,3
1994,1991107,"Robert Bailey",CB,3
1994,199338,"Roger Harper",S,3
1994,1992135,"Tony Brown",CB,3
1994,198818,"Aaron Jones",DE,3
1994,19898,"Burt Grossman",DE,3
1994,199342,"Dan Footman",DT,3
1994,199311,"Dan Williams",DT,3
1994,198518,"Freddie Joe Nunn",DE,3
1994,198323,"Jim Jeffcoat",DE,3
1994,199062,"Marc Spindler",DT,3
1994,1991152,"Mel Agee",DT,3
1994,1990265,"Mike Lodish",DT,3
1994,1988146,"Paul Frase",DT,3
1994,1992147,"Reggie White",DT,3
1994,1983276,"Tim Krumrie",DT,3
1994,199037,"Aaron Wallace",OLB,3
1994,1992180,"Corey Widmer",ILB,3
1994,1990225,"David Bavaro",ILB,3
1994,1993107,"Devon McDonald",LB,3
1994,00001351,"Ken Tippins",OLB,3
1994,198464,"Kyle Clifton",ILB,3
1994,1994222,"Marty Moore",ILB,3
1994,199383,"Mike Caldwell",OLB,3
1994,1993100,"Myron Baker",LB,3
1994,198660,"Pat Swilling",OLB,3
1994,199033,"Ron Cox",OLB,3
1994,199479,"Winfred Tubbs",ILB,3
1994,198752,"Bruce Wilkerson",T,3
