"year","player","url","position","college","height","weight","dash","vert_leap","bench","broad","cone","shuttle"
"2000","Kareem Larrimore","/players/L/LarrKa20.htm","CB","West Texas A&M","71","190","4.42","34.0","0","125","0","0"
"2000","Adrian Klemm","/players/K/KlemAd20.htm","OT","Hawaii","76","307","4.98","0","24","0","0","0"
"2000","Erron Kinney","/players/K/KinnEr00.htm","TE","Florida","78","272","4.90","0","0","0","0","0"
"2000","Kenoy Kennedy","/players/K/KennKe21.htm","FS","Arkansas","73","221","4.71","33.5","8","113","7.08","4.38"
"2000","Ben Kelly","/players/K/KellBe20.htm","CB","Colorado","69","183","4.53","36.0","17","116","6.63","3.95"
"2000","John Jones","/players/J/JoneJo00.htm","TE","Indiana (PA)","76","248","4.63","38.5","13","125","7.33","4.43"
"2000","Fred Jones","/players/J/JoneFr20.htm","OLB","Colorado","74","247","4.95","32.0","17","113","7.27","4.39"
"2000","Dhani Jones","/players/J/JoneDh20.htm","OLB","Michigan","73","240","4.68","0","29","0","0","0"
"2000","Brandon Jennings","/players/J/JennBr20.htm","FS","Texas A&M","72","198","4.51","38.0","16","123","6.91","4.14"
"2000","Mark Baniewicz","","OT","Syracuse","78","312","5.34","28.0","20","96","7.72","4.73"
"2000","Joey Chustz","","OT","Louisiana Tech","79","304","5.08","31.0","28","103","7.65","4.65"
"2000","Reggie Howard","/players/H/HowaRe21.htm","CB","Memphis","71","190","4.55","0","0","0","0","0"
"2000","Darren Howard","/players/H/HowaDa21.htm","DE","Kansas State","76","281","5.09","29.0","0","108","7.00","4.32"
"2000","Lloyd Harrison","/players/H/HarrLl20.htm","CB","North Carolina State","70","190","4.50","37.5","16","119","7.12","4.25"
"2000","Antwan Harris","/players/H/HarrAn21.htm","CB","Virginia","69","186","4.34","39.0","16","121","6.75","4.01"
"2000","James Hall","/players/H/HallJa21.htm","DE","Michigan","74","271","5.03","32.0","0","111","7.86","4.51"
"2000","Clark Haggans","/players/H/HaggCl20.htm","OLB","Colorado State","75","253","4.97","31.5","20","109","7.12","4.21"
"2000","Cornelius Griffin","/players/G/GrifCo20.htm","DE","Alabama","75","297","4.90","31.0","30","111","7.63","4.62"
"2000","Barrett Green","/players/G/GreeBa20.htm","OLB","West Virginia","72","233","4.56","36.0","22","120","0","0"
"2000","Dwayne Goodrich","/players/G/GoodDw20.htm","CB","Tennessee","71","195","4.45","0","0","0","0","0"
"2000","Ian Gold","/players/G/GoldIa00.htm","OLB","Michigan","73","221","4.56","33.0","21","115","6.97","4.19"
"2000","Kabeer Gbaja-Biamila","/players/G/GbajKa20.htm","OLB","San Diego State","76","243","4.65","34.0","21","120","6.90","4.28"
"2000","Trent Gamble","/players/G/GambTr20.htm","FS","Wyoming","69","186","4.56","37.0","21","124","6.60","3.90"
"2000","Byron Frisch","/players/F/FrisBy20.htm","DE","BYU","76","281","4.73","34.5","31","114","7.20","4.41"
"2000","Arturo Freeman","/players/F/FreeAr20.htm","FS","South Carolina","72","188","4.50","35.5","14","124","6.91","4.38"
"2000","Todd Franz","/players/F/FranTo21.htm","FS","Tulsa","73","199","4.55","0","14","0","0","0"
"2000","Bubba Franks","/players/F/FranBu00.htm","TE","Miami (FL)","78","265","4.85","0","0","0","0","0"
"2000","Erik Flowers","/players/F/FlowEr20.htm","DE","Arizona State","76","271","4.75","33.0","24","114","7.21","4.15"
